San Diego 1
BRIO COLLEGE PREP|Los Angeles|Los Angeles||EDNOVATE - BRIO COLLEGE PREP|Los Angeles|Ednovate - Brio College Prep|90071
CA SCH ARTS SAN GABRIEL VALLEY|Los Angeles|Duarte||CALIFORNIA SCHOOL OF THE ARTS - SAN GABRIEL VALLEY|Los Angeles|California School of the Arts - San Gabr|91010
CALIFORNIA ACAD MATH & SCIENCE|Los Angeles|Carson||CALIFORNIA ACADEMY OF MATHEMATICS AND SCIENCE|Los Angeles|Long Beach Unified|90747
CAMINO NUEVO HIGH SCHOOL DALZE|Los Angeles|Los Angeles||CAMINO NUEVO HIGH #2|Los Angeles|Camino Nuevo High #2|90004
CANOGA PARK HIGH SCHOOL|Los Angeles|Canoga Park||CANOGA PARK SENIOR HIGH|Los Angeles|Los Angeles Unified|91303
CARSON HIGH SCHOOL|Los Angeles|Carson||CARSON SENIOR HIGH|Los Angeles|Los Angeles Unified|90745
CATCH PREP CHARTER HIGH|Los Angeles|Los Angeles||CATCH PREP CHARTER HIGH, INC.|Los Angeles|CATCH Prep Charter High, Inc.|90008
CESAR CHAVEZ LA ARTES MAGNET|Los Angeles|San Fernando||CESAR E. CHAVEZ LEARNING ACADEMIES-ARTS/THEATRE/EN|Los Angeles|Los Angeles Unified|91340
CHARTER HS ARTS MEDIA PERFORM|Los Angeles|Van Nuys||CHAMPS - CHARTER HS OF ARTS-MULTIMEDIA & PERFORMIN|Los Angeles|CHAMPS - Charter HS of Arts-Multimedia &|91405
CHATSWORTH HIGH SCHOOL|Los Angeles|Chatsworth||CHATSWORTH CHARTER HIGH|Los Angeles|Los Angeles Unified|91311
CITY HONORS HIGH SCHOOL|Los Angeles|Inglewood||CITY HONORS INTERNATIONAL PREPARATORY HIGH|Los Angeles|Inglewood Unified|90301
CLARK MAGNET HIGH SCHOOL|Los Angeles|La Crescenta||ANDERSON W. CLARK MAGNET HIGH|Los Angeles|Glendale Unified|91214
